Room_Rate_Type,Property_Totals,Effected_Beds,Last_Year_Base_Avg,Last_Year_Eff_Avg,Tier_1_Beds,Tier_1_Base_Rate,Tier_1_Effective_Rate,Tier_1_Concession,Current_Year_Avg,D$,D(%)
Alps - 1x1 Private,1,0,1889,1889,0,$-   , $-   , $-   ,0,-1889,-1.0
Ansley - 1x1 Private,4,0,1824,1824,0,$-   , $-   , $-   ,0,-1824,-1.0
Arch - 1x1 Private,1,0,1719,1719,0,$-   , $-   , $-   ,0,-1719,-1.0
Arden A - 1x1 Private,13,0,1766,1766,0,$-   , $-   , $-   ,0,-1766,-1.0
Arden B - 1x1 Private,1,0,1739,1739,0,$-   , $-   , $-   ,0,-1739,-1.0
Ardmore - 1x1 Private,2,0,1769,1769,0,$-   , $-   , $-   ,0,-1769,-1.0
Ashton - 1x1 Private,1,0,1739,1739,0,$-   , $-   , $-   ,0,-1739,-1.0
Astoria - 1x1 Private,5,0,1789,1789,0,$-   , $-   , $-   ,0,-1789,-1.0
Avondale - 1x1 Private,5,0,1869,1869,0,$-   , $-   , $-   ,0,-1869,-1.0
Baxter - 2x2 Private,2,0,1399,1399,0,$-   , $-   , $-   ,0,-1399,-1.0
Berkeley - 2x2 Private,2,0,1389,1389,0,$-   , $-   , $-   ,0,-1389,-1.0
Bexley - 2x2 Private,30,8,1443,1443,4,1435,1435, $-   ,1440,-3,-0.002
Bexley II - 2x2 Private,84,8,1419,1419,4,1429,1429, $-   ,1434,15,0.01
Bexley III - 2x2 Private,6,0,1499,1499,0,$-   , $-   , $-   ,0,-1499,-1.0
Boulevard - 2x2 Private,2,0,1379,1379,0,$-   , $-   , $-   ,0,-1379,-1.0
Bradford - 2x2 Private,4,0,1369,1369,0,$-   , $-   , $-   ,0,-1369,-1.0
Brookhaven - 2x2 Private,18,8,1414,1414,4,1425,1425, $-   ,1430,16,0.012
Camden - 3x3 Private,39,9,1372,1372,3,1375,1375, $-   ,1382,10,0.007
Camden II - 3x3 Private,3,0,1299,1299,0,$-   , $-   , $-   ,0,-1299,-1.0
Candler - 3x3 Private,3,0,1409,1409,0,$-   , $-   , $-   ,0,-1409,-1.0
Carlton - 3x3 Private,3,0,1419,1419,0,$-   , $-   , $-   ,0,-1419,-1.0
Chastain - 3x3 Private,3,0,1436,1436,0,$-   , $-   , $-   ,0,-1436,-1.0
Chatham - 3x3 Private,3,0,1409,1409,0,$-   , $-   , $-   ,0,-1409,-1.0
Chelsea - 3x3 Private,39,9,1385,1385,3,1389,1389, $-   ,1396,11,0.008
Chicopee - 3x3 Private,3,0,1459,1459,0,$-   , $-   , $-   ,0,-1459,-1.0
Clarke - 3x3 Private,3,0,1419,1419,0,$-   , $-   , $-   ,0,-1419,-1.0
Cobbham - 3x3 Private,3,0,1459,1459,0,$-   , $-   , $-   ,0,-1459,-1.0
Concord - 3x3 Private,3,0,1399,1399,0,$-   , $-   , $-   ,0,-1399,-1.0
