Room/Rate Type,Property_Totals,SF/Bed,Base Rent Month,Premium Month,Total Rent Month,Total Rent Annual,Avg/Bed,Avg $/SF Month,Δ(%),Total Concessions,Eff. Avg/Bed,Δ(%)2
Alps - 1x1 Private,1,,1919, $-   ,1919,23028,1919.0, $-   ,0.02,$-   ,1919.0,0.016
Ansley - 1x1 Private,4,,7496, $-   ,7496,89952,1874.0, $-   ,0.0274,$-   ,1874.0,0.027
Arch - 1x1 Private,1,,1749, $-   ,1749,20988,1749.0, $-   ,0.0175,$-   ,1749.0,0.017
Arden A - 1x1 Private,13,,23746, $-   ,23746,284952,1827.0, $-   ,0.0344,$-   ,1827.0,0.034
Arden B - 1x1 Private,1,,1799, $-   ,1799,21588,1799.0, $-   ,0.0345,$-   ,1799.0,0.035
Ardmore - 1x1 Private,2,,3598, $-   ,3598,43176,1799.0, $-   ,0.017,$-   ,1799.0,0.017
Ashton - 1x1 Private,1,,1799, $-   ,1799,21588,1799.0, $-   ,0.0345,$-   ,1799.0,0.035
Astoria - 1x1 Private,5,,9155, $-   ,9155,109860,1831.0, $-   ,0.0232,$-   ,1831.0,0.023
Avondale - 1x1 Private,5,,9475, $-   ,9475,113700,1895.0, $-   ,0.0139,$-   ,1895.0,0.014
Baxter - 2x2 Private,2,,2838, $-   ,2838,34056,1419.0, $-   ,0.0143,$-   ,1419.0,0.014
Berkeley - 2x2 Private,2,,2818, $-   ,2818,33816,1409.0, $-   ,0.0144,$-   ,1409.0,0.014
Bexley - 2x2 Private,30,,44318, $-   ,44318,531816,1477.0, $-   ,0.0237,$-   ,1477.0,0.024
Bexley II - 2x2 Private,84,,125316, $-   ,125316,1503792,1492.0, $-   ,0.0511,$-   ,1492.0,0.051
Bexley III - 2x2 Private,6,,9114, $-   ,9114,109368,1519.0, $-   ,0.0133,$-   ,1519.0,0.013
Boulevard - 2x2 Private,2,,2798, $-   ,2798,33576,1399.0, $-   ,0.0145,$-   ,1399.0,0.015
Bradford - 2x2 Private,4,,5556, $-   ,5556,66672,1389.0, $-   ,0.0146,$-   ,1389.0,0.015
Brookhaven - 2x2 Private,18,,26110, $-   ,26110,313320,1451.0, $-   ,0.0261,$-   ,1451.0,0.026
Camden - 3x3 Private,39,,55365, $-   ,55365,664380,1420.0, $-   ,0.035,$-   ,1420.0,0.035
Camden II - 3x3 Private,3,,3927, $-   ,3927,47124,1309.0, $-   ,0.0077,$-   ,1309.0,0.008
Candler - 3x3 Private,3,,4317, $-   ,4317,51804,1439.0, $-   ,0.0213,$-   ,1439.0,0.021
Carlton - 3x3 Private,3,,4347, $-   ,4347,52164,1449.0, $-   ,0.0211,$-   ,1449.0,0.021
Chastain - 3x3 Private,3,,4395, $-   ,4395,52740,1465.0, $-   ,0.0204,$-   ,1465.0,0.02
Chatham - 3x3 Private,3,,4317, $-   ,4317,51804,1439.0, $-   ,0.0213,$-   ,1439.0,0.021
Chelsea - 3x3 Private,39,,55911, $-   ,55911,670932,1434.0, $-   ,0.0354,$-   ,1434.0,0.035
Chicopee - 3x3 Private,3,,4437, $-   ,4437,53244,1479.0, $-   ,0.0137,$-   ,1479.0,0.014
Clarke - 3x3 Private,3,,4317, $-   ,4317,51804,1439.0, $-   ,0.0141,$-   ,1439.0,0.014
Cobbham - 3x3 Private,3,,4437, $-   ,4437,53244,1479.0, $-   ,0.0137,$-   ,1479.0,0.014
Concord - 3x3 Private,3,,4257, $-   ,4257,51084,1419.0, $-   ,0.0143,$-   ,1419.0,0.014
TOTALS/    WEIGHTED AVG.,1364,-   ,1798966,1985,1800951,21611412,1320.35, $-   ,0.0479,$-   ,1320.35,0.0
